parent_id,endpoint_id,id,title
,discount,,找優惠
discount,subsidy,discount/subsidy,獎勵與補助
discount,counsel,discount/counsel,輔導與推動
,impeach,,檢舉
impeach,boe,impeach/boe,檢舉能源局
impeach,corporation,impeach/corporation,檢舉地下廠商
impeach,corruption,impeach/corruption,廉政檢舉
impeach,stealing,impeach/stealing,檢舉竊電
,gossip,,找八卦
gossip,news,gossip/news,新聞與回應
gossip,myth,gossip/myth,迷思
gossip,hot,gossip/hot,熱門點閱（現在夯什麼）
gossip,fact,gossip/fact,真相說明
,data,,找資料
data,online,data/online,線上
data,offline,data/offline,實體
online,report,online/report,報告
online,statistic,online/statistic,能源統計
online,price,online/price,油價 / 電費費率查詢
online,research,online/research,車輛耗能研究
,edu,,找教材
edu,published,edu/published,出版品
edu,video,edu/video,影音
edu,event,edu/event,知識教育實地推廣活動
edu,infographic,edu/infographic,懶人包(資訊圖像化)
,local,,我的縣市